year,league,section,team_count,avg_top_six,avg_team_rating,best_team,best_team_top_six
2026,55+ 3.5 Men,SAND,1,3.3200000000000003,3.3200000000000003,SAND.Lakes,3.3200000000000003
2026,55+ 3.5 Men,ALB,1,3.2916666666666665,3.2199999999999998,ALB.Bandages,3.2916666666666665
2026,55+ 3.5 Men,PIED,1,3.278333333333333,3.007619047619047,PIED.PM,3.278333333333333
2026,55+ 3.5 Men,ENO,4,3.2316666666666665,3.0943881118881116,ENO.TBuckley-CHTC,3.3383333333333334
2026,55+ 3.5 Women,SET,2,3.458333333333334,3.243620689655172,SET.DAY,3.5066666666666673
2026,55+ 3.5 Women,PIED,1,3.408333333333333,3.1145070422535204,PIED.AM,3.408333333333333
2026,55+ 3.5 Women,CTRL,3,3.3572222222222217,3.210555555555555,CTRL.Plattner,3.3899999999999992
2026,55+ 3.5 Women,CP,1,3.32,3.24875,CP.Women,3.32
2026,55+ 3.5 Women,NEUSE,1,3.32,3.24875,NEUSE.Women,3.32
2026,55+ 3.5 Women,METRO,6,3.3169444444444447,3.156352733686067,METRO.NC,3.455
2026,55+ 3.5 Women,ENO,5,3.2993333333333332,3.145717948717949,ENO.DAdams-DUR,3.4966666666666666
2026,55+ 3.5 Women,CAP,4,3.2887500000000003,3.1080692640692646,CAP.Turnburke,3.44
2026,55+ 3.5 Women,WNC,3,3.2833333333333337,3.1399533799533796,WNC.HRC,3.3866666666666667
2026,55+ 3.5 Women,ALB,1,3.2583333333333333,3.178888888888889,ALB.OBX,3.2583333333333333
2026,55+ 3.5 Women,SAND,2,3.2016666666666667,3.108111111111111,SAND.Club,3.2616666666666663
2026,55+ 3.5 Women,LKN,1,2.966666666666667,2.858181818181818,LKN.Thurs,2.966666666666667
2026,55+ 4.0 Men,LKN,1,3.938333333333333,3.825714285714285,LKN.BRP,3.938333333333333
2026,55+ 4.0 Men,WNC,1,3.9099999999999997,3.8188888888888886,WNC.South,3.9099999999999997
2026,55+ 4.0 Men,FTH,13,3.893333333333333,3.7436417046575716,FTH.Rigby,4.013333333333333
2026,55+ 4.0 Men,CTRL,2,3.8674999999999997,3.744090909090909,CTRL.Madia,3.928333333333333
2026,55+ 4.0 Men,METRO,4,3.864166666666667,3.704416666666667,METRO.OPRC,3.938333333333334
2026,55+ 4.0 Men,CAP,2,3.8425,3.705448717948718,CAP.Cooper,3.848333333333333
2026,55+ 4.0 Men,SET,2,3.83,3.7279999999999998,SET.James,3.8333333333333335
2026,55+ 4.0 Men,SAND,1,3.8200000000000003,3.74,SAND.Lakes,3.8200000000000003
2026,55+ 4.0 Men,PIED,1,3.811666666666667,3.7269999999999994,PIED.PM,3.811666666666667
2026,55+ 4.0 Men,YAD,1,3.573333333333333,3.573333333333333,YAD.Team,3.573333333333333
2026,55+ 4.0 Women,SET,1,3.888333333333333,3.7169230769230763,SET.LATE,3.888333333333333
2026,55+ 4.0 Women,PIED,2,3.785,3.6677500000000003,PIED.Afternoon,3.8716666666666666
2026,55+ 4.0 Women,METRO,2,3.770833333333333,3.6475874125874124,METRO.Tennis,3.8699999999999997
2026,55+ 4.0 Women,YAD,1,3.716666666666667,3.716666666666667,YAD.Yadkin-Lesser,3.716666666666667
2026,55+ 4.0 Women,WNC,2,3.6766666666666667,3.5485,WNC.Park,3.6966666666666668
2026,55+ 4.0 Women,NEUSE,1,3.671666666666667,3.6020000000000003,NEUSE.SP,3.671666666666667
2026,55+ 4.0 Women,ENO,2,3.66,3.5550000000000006,ENO.EHoover-YMCA,3.661666666666667
2026,55+ 4.0 Women,CTRL,1,3.635,3.5480000000000005,CTRL.Kalat,3.635
2026,55+ 4.0 Women,CAP,2,3.615,3.5109722222222217,CAP.Broslawsky,3.701666666666666
2026,55+ 4.0 Women,LKN,1,2.966666666666667,2.858181818181818,LKN.Thurs,2.966666666666667
2026,55+ 9.0 Men,ALB,3,4.310555555555555,4.137692307692308,ALB.Eriksson,4.426666666666667
2026,55+ 9.0 Men,CAP,3,4.310555555555555,4.137692307692308,CAP.Eriksson,4.426666666666667
2026,55+ 9.0 Men,CP,3,4.310555555555555,4.137692307692308,CP.Eriksson,4.426666666666667
2026,55+ 9.0 Men,CTRL,3,4.310555555555555,4.137692307692308,CTRL.Eriksson,4.426666666666667
2026,55+ 9.0 Men,ENO,3,4.310555555555555,4.137692307692308,ENO.Eriksson,4.426666666666667
2026,55+ 9.0 Men,FTH,3,4.310555555555555,4.137692307692308,FTH.Eriksson,4.426666666666667
2026,55+ 9.0 Men,LKN,3,4.310555555555555,4.137692307692308,LKN.Eriksson,4.426666666666667
2026,55+ 9.0 Men,METRO,3,4.310555555555555,4.137692307692308,METRO.Eriksson,4.426666666666667
2026,55+ 9.0 Men,NEUSE,3,4.310555555555555,4.137692307692308,NEUSE.Eriksson,4.426666666666667
2026,55+ 9.0 Men,PIED,3,4.310555555555555,4.137692307692308,PIED.Eriksson,4.426666666666667
2026,55+ 9.0 Men,SAND,3,4.310555555555555,4.137692307692308,SAND.Eriksson,4.426666666666667
2026,55+ 9.0 Men,WNC,3,4.310555555555555,4.137692307692308,WNC.Eriksson,4.426666666666667
2026,55+ 9.0 Men,YAD,3,4.310555555555555,4.137692307692308,YAD.Eriksson,4.426666666666667
2026,55+ 9.0 Men,SET,1,4.163333333333333,4.163333333333333,SET.elrod,4.163333333333333
2026,55+ 9.0 Women,PIED,1,4.136666666666666,3.8924999999999996,PIED.Belangia,4.136666666666666
2026,55+ 9.0 Women,SET,1,3.9250000000000003,3.8857142857142857,SET.Swagerty,3.9250000000000003
2026,65+ 3.0 Men,CTRL,1,3.015,2.858333333333333,CTRL.Knudson,3.015
2026,65+ 3.0 Men,CAP,5,3.013333333333333,2.8453925590749116,CAP.Kim,3.096666666666667
2026,65+ 3.0 Men,SET,5,3.013333333333333,2.8453925590749116,SET.Kim,3.096666666666667
2026,65+ 3.0 Men,METRO,1,3.0016666666666665,2.901818181818182,METRO.JCC,3.0016666666666665
2026,65+ 3.0 Men,ENO,2,2.895833333333333,2.7580769230769233,ENO.HS,2.955
2026,65+ 3.0 Men,NEUSE,1,2.893333333333333,2.696111111111111,NEUSE.SP,2.893333333333333
2026,65+ 3.0 Men,LKN,2,2.788333333333333,2.714555555555555,LKN.Westport,2.876666666666667
2026,65+ 3.0 Women,PIED,1,3.0366666666666666,2.7438461538461536,PIED.AM,3.0366666666666666
2026,65+ 3.0 Women,LKN,1,2.966666666666667,2.858181818181818,LKN.Thurs,2.966666666666667
2026,65+ 3.0 Women,METRO,1,2.938333333333333,2.885555555555556,METRO.Southampton,2.938333333333333
2026,65+ 3.0 Women,SET,2,2.9366666666666665,2.6992549261083743,SET.Day,2.9616666666666664
2026,65+ 3.0 Women,CTRL,1,2.9350000000000005,2.854444444444445,CTRL.Terjesen,2.9350000000000005
2026,65+ 3.0 Women,WNC,2,2.9191666666666665,2.7816111111111113,WNC.HRC,3.0749999999999997
2026,65+ 3.0 Women,ENO,6,2.8794444444444447,2.7062128982128986,ENO.MPanek-HR,2.9916666666666667
2026,65+ 3.0 Women,CAP,4,2.8466666666666667,2.6886538461538465,CAP.LeGaux,2.973333333333333
2026,65+ 3.0 Women,CP,1,2.641666666666666,2.4236363636363634,CP.Shots,2.641666666666666
2026,65+ 3.0 Women,NEUSE,1,2.641666666666666,2.4236363636363634,NEUSE.Shots,2.641666666666666
2026,65+ 3.5 Men,SET,3,3.4516666666666667,3.26551282051282,SET.DAY,3.5233333333333334
2026,65+ 3.5 Men,CTRL,2,3.45,3.3328333333333333,CTRL.Guthrie,3.4916666666666667
2026,65+ 3.5 Men,METRO,3,3.430555555555556,3.320492424242424,METRO.GCC,3.5283333333333338
2026,65+ 3.5 Men,WNC,2,3.4075,3.302613636363636,WNC.Peachtree,3.4233333333333333
2026,65+ 3.5 Men,CAP,5,3.379333333333333,3.2165027972027973,CAP.DeHaven,3.535
2026,65+ 3.5 Men,NEUSE,1,3.341666666666667,3.295,NEUSE.SP,3.341666666666667
2026,65+ 3.5 Men,SAND,1,3.3200000000000003,3.3200000000000003,SAND.Lakes,3.3200000000000003
2026,65+ 3.5 Men,ALB,1,3.2916666666666665,3.2199999999999998,ALB.Bandages,3.2916666666666665
2026,65+ 3.5 Men,PIED,1,3.278333333333333,3.007619047619047,PIED.PM,3.278333333333333
2026,65+ 3.5 Men,ENO,4,3.2316666666666665,3.0943881118881116,ENO.TBuckley-CHTC,3.3383333333333334
2026,65+ 3.5 Women,SET,2,3.458333333333334,3.243620689655172,SET.DAY,3.5066666666666673
2026,65+ 3.5 Women,PIED,1,3.408333333333333,3.1145070422535204,PIED.AM,3.408333333333333
2026,65+ 3.5 Women,CTRL,3,3.3572222222222217,3.210555555555555,CTRL.Plattner,3.3899999999999992
2026,65+ 3.5 Women,CP,1,3.32,3.24875,CP.Women,3.32
2026,65+ 3.5 Women,NEUSE,1,3.32,3.24875,NEUSE.Women,3.32
2026,65+ 3.5 Women,METRO,6,3.3169444444444447,3.156352733686067,METRO.NC,3.455
2026,65+ 3.5 Women,ENO,5,3.2993333333333332,3.145717948717949,ENO.DAdams-DUR,3.4966666666666666
2026,65+ 3.5 Women,CAP,4,3.2887500000000003,3.1080692640692646,CAP.Turnburke,3.44
2026,65+ 3.5 Women,WNC,3,3.2833333333333337,3.1399533799533796,WNC.HRC,3.3866666666666667
2026,65+ 3.5 Women,ALB,1,3.2583333333333333,3.178888888888889,ALB.OBX,3.2583333333333333
2026,65+ 3.5 Women,SAND,2,3.2016666666666667,3.108111111111111,SAND.Club,3.2616666666666663
2026,65+ 3.5 Women,LKN,1,2.966666666666667,2.858181818181818,LKN.Thurs,2.966666666666667
2026,65+ 4.0 Men,LKN,1,3.938333333333333,3.825714285714285,LKN.BRP,3.938333333333333
2026,65+ 4.0 Men,WNC,1,3.9099999999999997,3.8188888888888886,WNC.South,3.9099999999999997
2026,65+ 4.0 Men,FTH,13,3.893333333333333,3.7436417046575716,FTH.Rigby,4.013333333333333
2026,65+ 4.0 Men,CTRL,2,3.8674999999999997,3.744090909090909,CTRL.Madia,3.928333333333333
2026,65+ 4.0 Men,METRO,4,3.864166666666667,3.704416666666667,METRO.OPRC,3.938333333333334
2026,65+ 4.0 Men,CAP,2,3.8425,3.705448717948718,CAP.Cooper,3.848333333333333
2026,65+ 4.0 Men,SET,2,3.83,3.7279999999999998,SET.James,3.8333333333333335
2026,65+ 4.0 Men,SAND,1,3.8200000000000003,3.74,SAND.Lakes,3.8200000000000003
