year,league_type,league_name,gender,gender_label,level,area_name,flight,team_name,players_count_reported,top_six_reported,team_rating_reported,court_rating_reported,team_url,league_url,leaguefind_url
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Wi.Turner55A,14,3.44,3.21,3.26,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Wi.Turner55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Central Carolina (Cary),Adult 55 & Over 3.5 Men,CAS.Pedersen,10,3.37,3.24,3.28,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=CAS.Pedersen&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=Adult 55 %26 Over 3.5 Men&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Central Carolina (Cary),Adult 55 & Over 3.5 Men,KF.Hornbach,15,3.53,3.39,3.42,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=KF.Hornbach&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=Adult 55 %26 Over 3.5 Men&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Central Carolina (Cary),Adult 55 & Over 3.5 Men,LOCH.Newsome,13,3.57,3.4,3.44,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=LOCH.Newsome&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=Adult 55 %26 Over 3.5 Men&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Central Carolina (Cary),Adult 55 & Over 3.5 Men,NMAC.Daniel,9,3.26,3.16,3.18,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=NMAC.Daniel&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=Adult 55 %26 Over 3.5 Men&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Central Carolina (Cary),Adult 55 & Over 3.5 Men,TOC.Horowitz,10,3.34,3.25,3.26,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=TOC.Horowitz&year=2026&s=2,https://www.tennisrecord.com/adult/league.aspx?flightname=Adult 55 %26 Over 3.5 Men&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Coastal Plains,Adult 55 & Over 3.5 Men,Baywood 3.5 55+,14,3.44,3.25,3.28,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Baywood 3.5 55%2b&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5 MEN 55 %26 over&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Coastal+Plains&gender=M
2026,3,Adult 55+,M,Men,3.5,Coastal Plains,Adult 55 & Over 3.5 Men,EM-Whitley (55s 3.5M SP),9,3.41,3.34,3.34,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=EM-Whitley (55s 3.5M SP)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5 MEN 55 %26 over&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Coastal+Plains&gender=M
2026,3,Adult 55+,M,Men,3.5,Coastal Plains,Adult 55 & Over 3.5 Men,GR-Taylor (55s 3.5M SP),12,3.43,3.29,3.33,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=GR-Taylor (55s 3.5M SP)&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5 MEN 55 %26 over&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Coastal+Plains&gender=M
2026,3,Adult 55+,M,Men,3.5,Coastal Plains,Adult 55 & Over 3.5 Men,RB - Kool Kidz,10,3.34,3.19,3.22,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=RB - Kool Kidz&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5 MEN 55 %26 over&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Coastal+Plains&gender=M
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),Adult 55 & Over 3.5 Men,GGlish55-CHTC,13,3.4,3.31,3.33,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=GGlish55-CHTC&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),Adult 55 & Over 3.5 Men,MHolt-HS,11,3.33,3.27,3.27,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=MHolt-HS&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),Adult 55 & Over 3.5 Men,NBuckley-HR,14,3.4,3.25,3.26,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=NBuckley-HR&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),Adult 55 & Over 3.5 Men,RGildehaus-YMCA,14,3.47,3.36,3.39,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=RGildehaus-YMCA&year=2026&s=2,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),Adult 55 & Over 3.5 Men,RKern-CHTC,12,3.19,3.08,3.09,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=RKern-CHTC&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),Adult 55 & Over 3.5 Men,SClark-DUR,12,3.3,3.2,3.21,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=SClark-DUR&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
